Class ID,Class Name,Confidence,Bounding Box
6,ImageView,0.72,"[1712,709,1885,870]"
6,ImageView,0.61,"[1537,92,1680,361]"
6,ImageView,0.57,"[1537,398,1891,872]"
6,ImageView,0.57,"[1139,685,1275,864]"
6,ImageView,0.56,"[224,82,1275,631]"
13,TextView,0.52,"[1669,870,1901,921]"
6,ImageView,0.46,"[1712,399,1884,596]"
6,ImageView,0.42,"[330,687,569,792]"
