class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9985414743423462,208,313,260,365
4,tile,0.9984232187271118,379,311,432,364
4,tile,0.9979259967803955,207,256,259,308
4,tile,0.997916042804718,206,199,259,251
4,tile,0.9977454543113708,264,256,316,307
4,tile,0.9975981116294861,265,313,316,364
4,tile,0.9972243309020996,205,142,258,195
4,tile,0.9971141815185547,322,312,374,364
4,tile,0.9967292547225952,263,199,315,251
4,tile,0.9951089024543762,377,140,429,193
1,board,0.9944450259208679,199,136,436,370
4,tile,0.9934030175209045,320,141,372,193
4,tile,0.9927136301994324,378,254,430,307
4,tile,0.9926568865776062,378,197,429,250
4,tile,0.9919641017913818,321,255,372,307
4,tile,0.9892900586128235,320,198,372,250
4,tile,0.988828718662262,262,142,315,194
0,best_score_box,0.19242574274539948,400,54,434,81
2,button,0.1865350306034088,378,96,433,116
3,score_box,0.18510325253009796,365,55,397,82
0,best_score_box,0.16934482753276825,365,55,399,81
