class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9991959929466248,208,313,260,365
4,tile,0.9990512728691101,207,256,259,308
4,tile,0.9984385371208191,206,143,258,195
4,tile,0.9979904890060425,264,199,315,251
1,board,0.9977887868881226,200,137,436,369
4,tile,0.9975844621658325,379,312,431,364
4,tile,0.9969246983528137,206,200,259,251
4,tile,0.9964906573295593,321,198,372,250
4,tile,0.9960882663726807,377,197,429,250
4,tile,0.9955289959907532,376,140,428,194
4,tile,0.995189905166626,378,255,430,307
4,tile,0.9948909282684326,263,142,314,194
4,tile,0.9938417673110962,320,141,371,194
2,button,0.22864539921283722,377,96,433,116
0,best_score_box,0.21512772142887115,400,55,434,81
0,best_score_box,0.19298601150512695,366,55,399,81
3,score_box,0.18843647837638855,365,55,397,82
