class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9987540245056152,208,313,260,365
4,tile,0.9984252452850342,207,200,259,251
4,tile,0.9982434511184692,208,256,259,308
4,tile,0.9980723857879639,264,256,316,308
4,tile,0.9974073767662048,265,312,316,364
4,tile,0.9974060654640198,322,312,374,364
4,tile,0.9960898160934448,322,255,372,307
1,board,0.9959259033203125,200,137,436,370
4,tile,0.9956104159355164,376,140,428,193
4,tile,0.9950043559074402,380,313,430,363
4,tile,0.9945441484451294,263,199,315,251
4,tile,0.9942182302474976,206,143,257,195
4,tile,0.9942060708999634,263,142,315,194
4,tile,0.9939071536064148,378,255,429,307
4,tile,0.993684709072113,320,198,372,251
4,tile,0.9930422306060791,377,197,429,250
4,tile,0.9917137622833252,320,141,372,194
2,button,0.22500506043434143,378,96,433,116
0,best_score_box,0.20419105887413025,400,55,434,81
3,score_box,0.20306243002414703,365,55,397,82
0,best_score_box,0.1763472557067871,366,55,399,81
