class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9991570711135864,265,313,316,364
4,tile,0.998173713684082,206,143,257,195
4,tile,0.9980502128601074,264,256,316,308
4,tile,0.9979923963546753,208,200,258,251
1,board,0.9978894591331482,201,137,435,369
4,tile,0.9970533847808838,321,198,372,251
4,tile,0.9969925880432129,263,199,315,251
4,tile,0.9955106973648071,376,140,428,194
4,tile,0.9954476952552795,377,197,429,250
4,tile,0.9947317838668823,263,142,315,195
4,tile,0.9925960898399353,320,141,371,194
4,tile,0.9705134630203247,379,257,428,305
0,best_score_box,0.2175404280424118,400,55,434,81
2,button,0.20974856615066528,378,96,433,116
3,score_box,0.18970021605491638,365,55,397,82
0,best_score_box,0.1734120398759842,366,55,399,81
