class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9995400905609131,201,137,435,369
4,tile,0.9989535808563232,264,256,316,308
4,tile,0.9982179999351501,204,197,261,254
4,tile,0.9981960654258728,264,200,315,251
4,tile,0.9971902966499329,377,140,428,194
4,tile,0.9965612292289734,205,143,257,195
4,tile,0.996397852897644,377,198,429,250
4,tile,0.9948251247406006,263,142,314,195
4,tile,0.9934685230255127,319,141,371,194
2,button,0.2577235698699951,377,96,433,116
0,best_score_box,0.22642573714256287,400,55,434,82
3,score_box,0.22247488796710968,366,55,397,82
0,best_score_box,0.2117084413766861,366,55,399,81
