class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.999043881893158,207,256,259,308
4,tile,0.9988154172897339,207,199,259,252
1,board,0.9982967972755432,201,137,436,368
4,tile,0.9981535077095032,206,143,257,195
4,tile,0.9979926347732544,264,256,316,307
4,tile,0.9979696869850159,264,199,315,251
4,tile,0.9965769648551941,320,198,372,251
4,tile,0.9960793852806091,376,140,428,193
4,tile,0.9950116872787476,377,197,429,250
4,tile,0.9945769309997559,262,142,314,195
4,tile,0.9927381873130798,320,141,372,194
4,tile,0.5152819752693176,378,254,429,305
2,button,0.2256534844636917,377,96,433,116
0,best_score_box,0.21711058914661407,400,55,434,81
3,score_box,0.19416247308254242,365,55,397,82
0,best_score_box,0.18919703364372253,366,55,399,81
