class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9989972710609436,207,256,259,308
4,tile,0.9988401532173157,207,200,259,252
1,board,0.9981927275657654,200,137,435,369
4,tile,0.9973522424697876,320,198,372,251
4,tile,0.997221827507019,263,199,315,251
4,tile,0.9971291422843933,205,143,258,195
4,tile,0.9958535432815552,378,198,428,250
4,tile,0.9946478009223938,376,140,428,193
4,tile,0.9925857186317444,263,142,314,195
4,tile,0.9915292263031006,319,141,371,194
2,button,0.26144829392433167,378,96,433,116
3,score_box,0.22180457413196564,366,55,397,82
0,best_score_box,0.2108718305826187,400,55,434,81
0,best_score_box,0.19898395240306854,367,55,399,81
