class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9997838139533997,202,138,435,370
4,tile,0.9995633959770203,378,312,430,364
4,tile,0.998872697353363,262,143,314,195
4,tile,0.9975638389587402,377,141,428,194
4,tile,0.9968740940093994,376,198,428,250
4,tile,0.9968386888504028,319,142,371,195
4,tile,0.9800599813461304,206,314,259,366
2,button,0.299250066280365,377,96,433,117
3,score_box,0.2003912329673767,366,55,397,82
0,best_score_box,0.18582378327846527,400,55,433,82
0,best_score_box,0.159733846783638,366,55,399,82
