class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9988856911659241,207,256,258,308
4,tile,0.9985156655311584,263,199,315,251
4,tile,0.9984612464904785,264,256,316,308
4,tile,0.9980429410934448,207,200,259,251
1,board,0.9980196952819824,201,137,436,368
4,tile,0.9975188970565796,321,198,372,251
4,tile,0.9973766803741455,380,313,430,363
4,tile,0.9963905215263367,377,140,428,194
4,tile,0.9961825013160706,205,143,257,195
4,tile,0.9958944320678711,377,197,429,250
4,tile,0.9919724464416504,263,142,314,195
4,tile,0.9918699264526367,319,141,371,194
2,button,0.25386956334114075,378,96,433,116
0,best_score_box,0.20063862204551697,400,55,434,82
3,score_box,0.19381146132946014,366,55,397,82
0,best_score_box,0.19367727637290955,366,55,399,81
