class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9995415210723877,207,256,259,308
1,board,0.999434769153595,201,137,435,369
4,tile,0.999413251876831,205,143,257,195
4,tile,0.9984661340713501,320,199,371,251
4,tile,0.9975353479385376,377,198,429,250
4,tile,0.9968253374099731,262,142,314,195
4,tile,0.9967845678329468,319,141,371,194
4,tile,0.995735764503479,377,141,428,193
2,button,0.2679992914199829,377,96,433,117
3,score_box,0.21512724459171295,366,55,397,82
0,best_score_box,0.2020018994808197,400,55,434,82
0,best_score_box,0.17091569304466248,367,55,399,82
