class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9991492033004761,379,312,431,364
4,tile,0.9987735152244568,206,143,257,195
1,board,0.9982863068580627,202,137,436,368
4,tile,0.9970989227294922,264,199,315,251
4,tile,0.996764063835144,378,254,430,307
4,tile,0.9960809350013733,262,142,314,195
4,tile,0.9959025979042053,376,140,428,194
4,tile,0.9954001307487488,320,198,371,251
4,tile,0.9939690828323364,320,141,372,194
4,tile,0.9921138286590576,377,198,429,250
4,tile,0.9848243594169617,322,258,371,306
2,button,0.2147112786769867,378,95,433,116
0,best_score_box,0.20924288034439087,400,54,434,81
3,score_box,0.19146279990673065,365,55,396,81
0,best_score_box,0.16416840255260468,366,55,399,81
