class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9997237324714661,200,136,435,370
4,tile,0.9996585845947266,264,312,316,364
4,tile,0.9995101690292358,206,200,258,252
4,tile,0.9991113543510437,207,314,259,365
4,tile,0.9990942478179932,262,143,314,195
4,tile,0.9989207983016968,207,257,258,308
4,tile,0.9989190101623535,205,143,257,195
2,button,0.3716525435447693,377,96,433,117
0,best_score_box,0.22240281105041504,400,55,433,82
3,score_box,0.2097933441400528,366,55,397,83
0,best_score_box,0.18748785555362701,366,55,399,82
4,tile,0.13400691747665405,377,97,434,117
