class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9995253086090088,201,138,435,369
4,tile,0.9990519881248474,206,200,258,252
4,tile,0.9990001320838928,207,314,259,365
4,tile,0.9989721775054932,207,257,258,308
4,tile,0.9986618757247925,263,200,315,251
4,tile,0.9986269474029541,264,256,315,308
4,tile,0.9984328150749207,205,143,257,195
4,tile,0.9976373910903931,262,143,314,195
4,tile,0.9968869090080261,319,142,371,195
4,tile,0.99660325050354,376,141,428,194
2,button,0.29021239280700684,377,96,433,117
3,score_box,0.18869838118553162,366,55,397,82
0,best_score_box,0.18033550679683685,400,55,433,82
0,best_score_box,0.1802024394273758,366,55,399,82
