class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.999359667301178,208,313,260,365
4,tile,0.9991322159767151,207,257,259,308
4,tile,0.9989745616912842,207,200,258,252
4,tile,0.998902440071106,263,199,315,251
1,board,0.9986808896064758,200,137,435,369
4,tile,0.9986807703971863,206,143,257,195
4,tile,0.9982441663742065,320,199,371,251
4,tile,0.9971520900726318,377,141,428,194
4,tile,0.9961289167404175,319,141,371,195
4,tile,0.9943747520446777,262,142,314,195
2,button,0.2579725682735443,377,96,433,116
3,score_box,0.2062131017446518,366,55,397,82
0,best_score_box,0.2005360871553421,400,55,434,82
0,best_score_box,0.19500049948692322,367,55,399,82
