class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9996212720870972,208,313,260,365
1,board,0.9991282820701599,202,137,435,369
4,tile,0.9989948868751526,264,199,315,251
4,tile,0.9985564351081848,378,254,429,307
4,tile,0.9983342289924622,205,143,257,195
4,tile,0.9967057108879089,319,141,371,194
4,tile,0.9966664910316467,320,198,372,250
4,tile,0.9945480227470398,376,141,428,194
4,tile,0.9942569136619568,263,142,314,195
4,tile,0.9905000329017639,377,198,429,249
2,button,0.2724526524543762,378,96,433,116
3,score_box,0.22751867771148682,366,55,397,82
0,best_score_box,0.21488408744335175,367,55,399,81
0,best_score_box,0.20432791113853455,400,55,434,81
