class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.99882572889328,322,312,373,364
4,tile,0.9978576302528381,207,200,259,252
4,tile,0.997556209564209,264,256,316,308
4,tile,0.9962868690490723,379,312,431,364
1,board,0.996191143989563,200,137,436,368
4,tile,0.9954741597175598,205,143,257,195
4,tile,0.9948855042457581,262,199,315,251
4,tile,0.9948234558105469,321,255,372,307
4,tile,0.9947201013565063,378,254,430,307
4,tile,0.9946243166923523,376,140,428,193
4,tile,0.99460768699646,377,197,429,250
4,tile,0.9934362173080444,263,142,314,194
4,tile,0.993425726890564,320,198,372,250
4,tile,0.9921127557754517,319,141,371,194
4,tile,0.9212507605552673,207,256,259,308
2,button,0.2460654377937317,378,96,433,116
0,best_score_box,0.2191208302974701,400,55,434,81
3,score_box,0.19950595498085022,365,55,396,82
0,best_score_box,0.1967090219259262,366,55,399,81
