class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9993301630020142,322,312,373,364
4,tile,0.9986613988876343,208,256,259,308
1,board,0.9986444115638733,201,137,436,369
4,tile,0.998516857624054,208,313,260,365
4,tile,0.9984853863716125,206,199,259,251
4,tile,0.9984074234962463,263,199,315,251
4,tile,0.9982724189758301,206,143,257,195
4,tile,0.998144268989563,265,256,316,308
4,tile,0.9965649247169495,321,198,372,250
4,tile,0.996545135974884,377,140,428,194
4,tile,0.9948655962944031,320,141,371,194
4,tile,0.9945547580718994,263,142,315,194
2,button,0.24405239522457123,377,96,433,116
0,best_score_box,0.21895864605903625,400,54,434,81
3,score_box,0.19768166542053223,365,55,397,82
0,best_score_box,0.17823337018489838,366,55,399,81
