class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9995347261428833,201,137,436,369
4,tile,0.9994975328445435,379,311,431,364
4,tile,0.9991065859794617,265,313,316,364
4,tile,0.9987404942512512,206,143,258,195
4,tile,0.9987131357192993,208,313,260,365
4,tile,0.9985333681106567,264,256,316,307
4,tile,0.9984073042869568,207,256,259,308
4,tile,0.9977627992630005,264,199,315,251
4,tile,0.9972207546234131,377,140,428,194
4,tile,0.9971498847007751,206,200,259,252
4,tile,0.9961354732513428,263,142,315,195
4,tile,0.9958406090736389,320,141,372,194
2,button,0.2656604051589966,377,96,433,116
0,best_score_box,0.22954756021499634,400,54,434,81
3,score_box,0.21243147552013397,365,55,396,82
0,best_score_box,0.20857787132263184,366,55,399,81
