class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9994920492172241,201,138,435,369
4,tile,0.9991186261177063,205,143,256,195
4,tile,0.9990687966346741,207,200,257,252
4,tile,0.9988341927528381,319,199,372,251
4,tile,0.9985799789428711,262,143,314,195
4,tile,0.9977647066116333,377,198,428,250
4,tile,0.9972401857376099,377,141,428,194
4,tile,0.9968619346618652,319,142,371,195
2,button,0.2652045488357544,377,96,433,117
3,score_box,0.1890949159860611,366,55,397,83
0,best_score_box,0.1797487586736679,400,55,434,82
0,best_score_box,0.16585125029087067,366,55,399,82
