class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9993507266044617,206,143,257,195
1,board,0.9993155002593994,202,137,435,370
4,tile,0.998416543006897,378,255,429,307
4,tile,0.9981992840766907,320,199,372,251
4,tile,0.9963558912277222,319,141,371,194
4,tile,0.9963501691818237,262,142,314,195
4,tile,0.9959107637405396,377,141,428,193
4,tile,0.9956324696540833,377,198,428,250
4,tile,0.9884518384933472,322,314,372,364
2,button,0.25995978713035583,377,96,433,117
3,score_box,0.22701600193977356,366,55,397,82
0,best_score_box,0.19973397254943848,400,55,434,82
0,best_score_box,0.19271127879619598,367,55,399,82
