class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9988813996315002,208,313,260,365
4,tile,0.9986478686332703,207,256,259,308
4,tile,0.9983175992965698,264,256,316,307
4,tile,0.9978471994400024,206,199,259,251
4,tile,0.9978123903274536,322,312,373,364
4,tile,0.9973824620246887,205,142,258,195
4,tile,0.9967003464698792,263,199,315,251
4,tile,0.9960797429084778,379,312,431,364
4,tile,0.9950230121612549,377,140,429,193
1,board,0.9949748516082764,200,136,436,369
4,tile,0.9943649768829346,378,254,430,307
4,tile,0.9935851693153381,320,141,372,193
4,tile,0.9933655858039856,321,255,372,307
4,tile,0.9927892088890076,377,197,429,250
4,tile,0.9896138310432434,320,198,372,250
4,tile,0.9880602955818176,262,142,315,194
0,best_score_box,0.2312498390674591,400,54,434,81
3,score_box,0.20548425614833832,365,55,397,81
2,button,0.19678939878940582,377,96,433,116
0,best_score_box,0.18759439885616302,366,55,399,81
