class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9991194605827332,208,313,260,365
4,tile,0.9988102912902832,207,256,259,308
4,tile,0.9973740577697754,205,142,257,195
4,tile,0.9973729848861694,264,256,315,308
4,tile,0.9973117113113403,321,255,373,307
4,tile,0.996333122253418,207,200,259,252
4,tile,0.9960971474647522,379,255,429,307
1,board,0.9955756664276123,200,137,436,368
4,tile,0.9953703284263611,376,140,428,193
4,tile,0.9942348599433899,263,199,315,251
4,tile,0.9940483570098877,263,142,315,194
4,tile,0.9931302666664124,320,198,372,251
4,tile,0.992436945438385,378,197,429,250
4,tile,0.9918491840362549,320,141,372,194
2,button,0.228733092546463,378,96,433,116
0,best_score_box,0.2063749134540558,400,54,434,81
0,best_score_box,0.19677023589611053,366,55,399,81
3,score_box,0.19067466259002686,365,55,397,82
