class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.999476969242096,207,256,259,308
4,tile,0.9990100860595703,321,255,372,307
1,board,0.9989200830459595,201,137,436,368
4,tile,0.9981626868247986,205,143,257,195
4,tile,0.9977381229400635,320,198,372,250
4,tile,0.9976221919059753,377,140,428,194
4,tile,0.9968775510787964,378,255,429,307
4,tile,0.9954144954681396,378,198,429,250
4,tile,0.9947038292884827,262,142,314,195
4,tile,0.9941343665122986,319,141,371,194
2,button,0.2598998248577118,377,96,433,116
3,score_box,0.2308095246553421,366,55,397,82
0,best_score_box,0.22551393508911133,366,55,399,81
0,best_score_box,0.19321011006832123,400,55,434,82
