class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9988056421279907,379,311,431,364
4,tile,0.9986923336982727,208,313,259,365
4,tile,0.9983768463134766,207,256,259,308
4,tile,0.9980035424232483,264,256,315,307
4,tile,0.9975727200508118,207,200,259,251
4,tile,0.9973999261856079,321,255,372,307
4,tile,0.9968395233154297,265,313,316,365
4,tile,0.9966738224029541,321,198,372,250
4,tile,0.996178150177002,263,199,315,251
1,board,0.9959562420845032,200,137,436,369
4,tile,0.9959471821784973,205,143,258,195
4,tile,0.9951706528663635,378,255,429,307
4,tile,0.9949681162834167,378,197,429,250
4,tile,0.9940199851989746,376,140,428,193
4,tile,0.9913452863693237,263,142,315,194
4,tile,0.9900571703910828,319,141,371,194
4,tile,0.9882254600524902,323,314,372,364
2,button,0.23719891905784607,378,95,433,116
0,best_score_box,0.2124355286359787,400,54,434,81
3,score_box,0.20130306482315063,366,55,397,82
0,best_score_box,0.18379664421081543,366,55,399,81
