class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9992356300354004,379,311,432,364
4,tile,0.998645007610321,207,256,259,308
4,tile,0.9982725381851196,265,312,316,364
4,tile,0.9981972575187683,206,199,259,252
4,tile,0.9980436563491821,264,256,316,307
4,tile,0.9977136850357056,322,312,373,364
4,tile,0.9974314570426941,205,142,258,195
4,tile,0.9971216320991516,263,199,315,251
1,board,0.9955340623855591,200,136,436,369
4,tile,0.9952775239944458,377,140,429,193
4,tile,0.9947187900543213,321,255,372,307
4,tile,0.9942594766616821,320,141,372,193
4,tile,0.9934200644493103,378,197,429,250
4,tile,0.9903609752655029,320,198,372,250
4,tile,0.9891300201416016,262,142,315,195
0,best_score_box,0.19346094131469727,400,54,434,81
3,score_box,0.19088853895664215,365,55,396,81
2,button,0.1858808696269989,378,95,433,116
0,best_score_box,0.1705836057662964,366,55,399,81
