class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9989101886749268,265,312,316,365
4,tile,0.9987208247184753,208,314,260,365
4,tile,0.9985889792442322,207,256,259,308
4,tile,0.9985319375991821,264,256,316,307
4,tile,0.9981480836868286,206,199,259,251
4,tile,0.997426450252533,377,140,429,194
1,board,0.9971511960029602,200,137,436,369
4,tile,0.9967595934867859,320,198,372,251
4,tile,0.9960771203041077,206,143,258,195
4,tile,0.9956717491149902,264,199,315,251
4,tile,0.9950953722000122,378,197,429,250
4,tile,0.9927822351455688,319,141,371,194
4,tile,0.9925014972686768,263,142,315,195
4,tile,0.9446932673454285,322,257,372,306
2,button,0.22830769419670105,378,96,433,116
0,best_score_box,0.19999265670776367,366,55,399,81
3,score_box,0.19990012049674988,365,55,397,82
0,best_score_box,0.19093164801597595,400,55,434,81
