class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9992265701293945,202,138,435,369
4,tile,0.9990523457527161,205,143,257,195
4,tile,0.9989203214645386,263,199,314,251
4,tile,0.9985324144363403,320,199,372,251
4,tile,0.9979960918426514,262,143,313,195
4,tile,0.9970049262046814,377,141,428,194
4,tile,0.9961659908294678,377,198,428,250
4,tile,0.9956238865852356,319,142,371,195
2,button,0.2634495198726654,377,96,433,117
3,score_box,0.18859878182411194,366,55,397,82
0,best_score_box,0.17205800116062164,400,55,433,82
0,best_score_box,0.16192679107189178,366,55,399,82
