class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9992464780807495,207,200,258,252
4,tile,0.9990371465682983,206,143,257,195
4,tile,0.9986099004745483,378,255,429,307
4,tile,0.9985774755477905,263,199,315,251
1,board,0.9985515475273132,201,136,436,369
4,tile,0.9981207251548767,320,198,371,251
4,tile,0.995771586894989,319,142,370,194
4,tile,0.9953096508979797,263,142,314,195
4,tile,0.9946993589401245,377,198,429,250
4,tile,0.9932698607444763,372,138,430,196
2,button,0.2513262927532196,378,96,433,117
3,score_box,0.2073041945695877,366,55,397,82
0,best_score_box,0.20168352127075195,400,55,434,82
0,best_score_box,0.17616550624370575,366,55,399,81
