class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9976934790611267,206,142,257,195
4,tile,0.9972767233848572,207,200,259,252
1,board,0.9962538480758667,201,137,436,368
4,tile,0.9962061643600464,263,199,315,251
4,tile,0.9953851103782654,378,254,430,307
4,tile,0.9951300621032715,263,142,315,194
4,tile,0.994929850101471,376,140,428,193
4,tile,0.9944085478782654,320,198,372,251
4,tile,0.9931725859642029,378,197,429,250
4,tile,0.9907186627388,320,141,371,194
4,tile,0.4261161983013153,232,256,295,308
2,button,0.22359849512577057,378,96,433,116
0,best_score_box,0.20600289106369019,400,54,434,81
0,best_score_box,0.1963546723127365,366,55,399,81
3,score_box,0.18243898451328278,365,55,397,82
