class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9993809461593628,207,200,258,252
4,tile,0.9991488456726074,378,312,431,364
4,tile,0.99871826171875,263,199,315,251
4,tile,0.9987177848815918,205,143,257,195
4,tile,0.9980504512786865,320,199,371,251
1,board,0.9980399012565613,201,137,435,369
4,tile,0.9970995187759399,378,255,429,307
4,tile,0.9946231842041016,377,198,428,250
4,tile,0.9945288300514221,376,141,428,194
4,tile,0.9926376342773438,262,142,313,195
4,tile,0.9904110431671143,319,142,371,194
2,button,0.24610841274261475,377,96,433,117
3,score_box,0.19877809286117554,366,55,397,82
0,best_score_box,0.18700742721557617,400,55,434,82
0,best_score_box,0.1593458354473114,367,55,399,82
