class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9992176294326782,379,311,431,364
4,tile,0.9987432360649109,207,200,259,252
4,tile,0.9986870884895325,322,312,373,364
4,tile,0.9983479976654053,265,312,316,364
4,tile,0.9981988072395325,208,257,259,308
4,tile,0.9975976347923279,321,255,372,307
4,tile,0.9970852732658386,265,256,316,308
1,board,0.9963843822479248,200,137,436,369
4,tile,0.9953371286392212,205,143,258,195
4,tile,0.9950422048568726,263,199,315,251
4,tile,0.9941726326942444,377,197,429,250
4,tile,0.9938524961471558,263,142,315,194
4,tile,0.9933041930198669,320,198,372,250
4,tile,0.9931822419166565,376,140,428,193
4,tile,0.99174964427948,320,141,372,194
0,best_score_box,0.23688484728336334,400,54,434,81
2,button,0.22612066566944122,377,96,433,116
3,score_box,0.2096419483423233,365,55,396,81
0,best_score_box,0.18354012072086334,366,55,399,81
