class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.99843829870224,207,256,259,308
4,tile,0.9982092380523682,265,312,316,364
4,tile,0.9980078339576721,206,199,259,251
4,tile,0.9979991316795349,264,256,316,307
4,tile,0.9976796507835388,322,312,373,364
4,tile,0.9973604083061218,206,142,258,195
4,tile,0.9968240261077881,263,199,315,251
4,tile,0.9965862035751343,380,312,430,363
4,tile,0.9956709146499634,377,140,428,193
1,board,0.9951959252357483,200,136,436,369
4,tile,0.9937450289726257,320,141,371,193
4,tile,0.9936362504959106,321,255,372,307
4,tile,0.9928210377693176,378,197,429,250
4,tile,0.9906682372093201,262,142,315,194
4,tile,0.9896849393844604,320,198,372,250
0,best_score_box,0.20682001113891602,400,54,434,81
2,button,0.185904860496521,378,96,433,116
3,score_box,0.1794729083776474,365,55,397,81
0,best_score_box,0.1768975555896759,366,55,399,81
