class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9989657402038574,322,312,374,364
4,tile,0.9988642930984497,208,314,260,365
4,tile,0.9987315535545349,207,256,259,308
4,tile,0.9978559613227844,321,255,372,307
4,tile,0.9972262978553772,379,312,431,364
4,tile,0.9972231388092041,265,256,315,308
4,tile,0.9969866871833801,321,198,372,250
4,tile,0.9969379901885986,207,200,258,252
1,board,0.9962790608406067,200,137,436,369
4,tile,0.9961448907852173,205,143,257,195
4,tile,0.9949263334274292,378,254,430,307
4,tile,0.994902491569519,376,140,428,193
4,tile,0.9943307638168335,263,199,315,251
4,tile,0.9923309087753296,263,142,314,194
4,tile,0.9921890497207642,319,141,371,194
4,tile,0.9917893409729004,377,198,429,250
2,button,0.2573995590209961,378,96,433,116
0,best_score_box,0.2202705591917038,400,55,434,81
3,score_box,0.21987749636173248,366,55,397,82
0,best_score_box,0.20825712382793427,367,55,399,81
