class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9989368319511414,201,137,435,368
4,tile,0.998808741569519,264,256,316,308
4,tile,0.9986673593521118,206,143,257,195
4,tile,0.9985731840133667,263,199,315,251
4,tile,0.9982632994651794,207,200,258,252
4,tile,0.9974567294120789,320,198,372,251
4,tile,0.9966159462928772,319,141,371,195
4,tile,0.9965366125106812,376,140,428,194
4,tile,0.9941178560256958,262,142,314,195
4,tile,0.9272521138191223,321,256,372,307
2,button,0.28677085041999817,377,96,433,117
3,score_box,0.20482730865478516,366,55,397,82
0,best_score_box,0.20019428431987762,366,55,399,82
0,best_score_box,0.19827455282211304,400,55,433,82
