class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9994217157363892,206,143,257,195
1,board,0.9993502497673035,201,137,435,368
4,tile,0.9992802739143372,320,255,372,307
4,tile,0.9981594681739807,378,255,429,307
4,tile,0.9973956346511841,377,198,429,250
4,tile,0.9973856806755066,377,141,428,194
4,tile,0.9972392320632935,262,142,314,195
4,tile,0.99695885181427,319,141,371,195
4,tile,0.9495631456375122,321,200,371,250
2,button,0.25911274552345276,377,96,433,117
3,score_box,0.21162840723991394,366,55,397,82
0,best_score_box,0.19228902459144592,400,55,434,82
0,best_score_box,0.1767944097518921,367,55,399,82
