class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9986899495124817,207,256,259,308
4,tile,0.998685896396637,208,313,259,365
4,tile,0.9984713196754456,322,313,372,364
4,tile,0.9980302453041077,322,255,372,307
4,tile,0.9979494214057922,206,199,259,251
4,tile,0.9974119067192078,264,255,316,308
1,board,0.9960302710533142,200,137,436,369
4,tile,0.9949941039085388,263,199,315,251
4,tile,0.9945468902587891,206,143,258,195
4,tile,0.9941776990890503,263,142,315,194
4,tile,0.9939517378807068,378,254,430,307
4,tile,0.9931857585906982,320,198,372,251
4,tile,0.9929705262184143,378,197,429,250
4,tile,0.992783784866333,376,140,428,193
4,tile,0.9922754168510437,320,141,372,194
2,button,0.2388496994972229,377,96,433,116
0,best_score_box,0.20203660428524017,400,55,434,81
3,score_box,0.20114536583423615,365,55,397,82
0,best_score_box,0.19115330278873444,366,55,399,81
