class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9990350008010864,379,311,431,364
4,tile,0.998961329460144,207,200,259,251
4,tile,0.9983429908752441,264,255,316,308
1,board,0.9974007606506348,201,137,436,368
4,tile,0.9961628913879395,376,140,428,193
4,tile,0.9958893656730652,321,255,372,307
4,tile,0.9949743747711182,263,199,315,251
4,tile,0.9935435056686401,320,141,371,194
4,tile,0.9919523596763611,321,198,372,250
4,tile,0.9898275136947632,378,255,429,307
4,tile,0.9886754751205444,263,142,314,194
4,tile,0.9875434637069702,378,198,428,249
2,button,0.25178858637809753,378,96,433,116
3,score_box,0.21666006743907928,365,55,396,82
0,best_score_box,0.20443138480186462,400,54,434,81
0,best_score_box,0.19977439939975739,366,55,399,81
