class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9991335272789001,379,311,431,364
4,tile,0.9986754059791565,207,200,259,251
4,tile,0.9985129237174988,208,257,258,308
4,tile,0.997530996799469,323,255,372,307
4,tile,0.9971606731414795,206,142,258,195
1,board,0.9958423972129822,200,137,436,368
4,tile,0.9954668283462524,377,140,428,193
4,tile,0.9950863718986511,263,199,315,250
4,tile,0.9940489530563354,263,142,315,194
4,tile,0.9933760762214661,320,198,372,251
4,tile,0.9932724237442017,378,254,430,307
4,tile,0.9927282333374023,377,197,429,250
4,tile,0.9919760823249817,261,253,319,310
4,tile,0.9918360114097595,320,141,372,194
2,button,0.23111166059970856,378,96,433,116
0,best_score_box,0.212523952126503,400,54,434,81
0,best_score_box,0.1886747032403946,366,55,399,81
3,score_box,0.18182191252708435,365,55,397,82
