class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9990788698196411,264,312,316,364
4,tile,0.9988558292388916,207,256,259,308
4,tile,0.9982032775878906,321,255,373,307
4,tile,0.997489333152771,205,142,257,195
4,tile,0.9970255494117737,264,255,316,308
1,board,0.9966678023338318,200,137,436,368
4,tile,0.9964460730552673,207,200,259,252
4,tile,0.9953945279121399,376,140,428,193
4,tile,0.995261013507843,263,199,315,251
4,tile,0.9950023293495178,262,142,315,195
4,tile,0.9938735961914062,320,198,372,251
4,tile,0.9918545484542847,320,141,372,194
4,tile,0.9910127520561218,378,197,429,250
2,button,0.22218836843967438,378,96,433,116
3,score_box,0.19587108492851257,365,55,397,82
0,best_score_box,0.19213531911373138,366,55,399,81
0,best_score_box,0.18857242166996002,400,54,434,81
