class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9979069232940674,207,200,259,252
1,board,0.997660756111145,201,137,436,368
4,tile,0.9973973035812378,263,199,315,251
4,tile,0.9969246983528137,321,198,372,251
4,tile,0.9965881109237671,205,143,257,195
4,tile,0.9959176182746887,378,255,429,307
4,tile,0.9957459568977356,377,197,429,250
4,tile,0.9941856861114502,376,140,428,194
4,tile,0.992519736289978,263,142,314,195
4,tile,0.9912701845169067,319,141,371,194
4,tile,0.9537559747695923,258,257,308,307
4,tile,0.7569400668144226,314,255,372,307
2,button,0.25582510232925415,378,96,433,116
0,best_score_box,0.21476176381111145,367,55,399,81
3,score_box,0.2082277089357376,366,55,397,82
0,best_score_box,0.20600886642932892,400,55,434,81
