class,class_name,confidence,x_min,y_min,x_max,y_max
0,login_button,0.9936314225196838,234,262,425,295
1,login_form,0.9919202327728271,207,71,449,332
4,title_text,0.9804205894470215,297,110,357,136
6,username_input,0.973871648311615,232,164,425,199
2,password_input,0.9668201208114624,233,220,425,255
