class,class_name,confidence,x_min,y_min,x_max,y_max
1,login_form,0.995377779006958,207,54,450,350
0,login_button,0.9872838258743286,234,245,425,279
6,username_input,0.9821422100067139,232,148,424,182
4,title_text,0.9774022698402405,297,94,358,120
2,password_input,0.9677978157997131,233,204,425,237
3,success_alert,0.9027436375617981,234,288,427,323
