class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9995043277740479,379,311,431,364
4,tile,0.9991858601570129,207,257,259,308
4,tile,0.9987126588821411,208,313,260,365
4,tile,0.998245120048523,264,313,316,365
4,tile,0.9981933236122131,321,256,372,307
4,tile,0.9981564879417419,207,200,259,251
4,tile,0.997456967830658,264,255,316,308
4,tile,0.9971634745597839,321,198,372,250
4,tile,0.9969684481620789,263,199,315,251
1,board,0.9965358972549438,200,137,436,369
4,tile,0.9962533712387085,205,143,257,195
4,tile,0.9957109689712524,378,197,429,250
4,tile,0.9952097535133362,376,140,428,194
4,tile,0.9923612475395203,263,142,315,194
4,tile,0.9915688633918762,319,141,371,194
2,button,0.26060739159584045,378,96,433,116
3,score_box,0.22771458327770233,366,55,397,82
0,best_score_box,0.2082398682832718,366,55,399,81
0,best_score_box,0.19646698236465454,400,55,434,81
