class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9996240139007568,206,200,258,252
1,board,0.999134361743927,200,137,435,369
4,tile,0.9990315437316895,320,255,372,307
4,tile,0.9987358450889587,319,199,371,251
4,tile,0.9963445067405701,319,141,371,194
4,tile,0.9961209893226624,377,198,428,250
4,tile,0.9958264231681824,376,141,428,194
2,button,0.2805449664592743,377,96,433,117
3,score_box,0.1842343807220459,366,55,397,83
0,best_score_box,0.1816481351852417,400,55,433,82
0,best_score_box,0.16344085335731506,366,55,399,82
