class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9993663430213928,208,313,260,365
4,tile,0.9990481734275818,207,256,259,308
4,tile,0.9990447163581848,207,200,258,252
4,tile,0.9989001750946045,263,199,315,251
4,tile,0.998771607875824,206,143,257,195
1,board,0.99873286485672,200,137,435,369
4,tile,0.9981769323348999,321,199,371,251
4,tile,0.9971014857292175,377,141,428,194
4,tile,0.9965234398841858,319,141,371,194
4,tile,0.9949384927749634,262,142,314,195
2,button,0.2504507303237915,377,96,433,117
3,score_box,0.2185271978378296,366,55,397,82
0,best_score_box,0.19161632657051086,400,55,434,82
0,best_score_box,0.19051149487495422,367,55,399,82
