class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9990330934524536,322,312,373,364
4,tile,0.99860018491745,207,256,259,308
4,tile,0.998508632183075,207,200,259,252
4,tile,0.9983264803886414,264,256,316,308
4,tile,0.9976481795310974,264,313,316,364
4,tile,0.9970890879631042,321,255,372,307
1,board,0.9959854483604431,200,137,436,369
4,tile,0.9954776167869568,206,143,258,195
4,tile,0.995411217212677,376,140,428,193
4,tile,0.9944180250167847,263,199,315,251
4,tile,0.9943547248840332,378,254,430,307
4,tile,0.9937912821769714,320,198,372,251
4,tile,0.9937752485275269,263,142,315,194
4,tile,0.9934895038604736,377,197,429,250
4,tile,0.9917330741882324,320,141,372,194
2,button,0.22685736417770386,377,95,433,116
3,score_box,0.19559292495250702,365,55,396,81
0,best_score_box,0.1908540278673172,400,54,434,81
0,best_score_box,0.1828961968421936,366,55,399,81
