class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.999154806137085,322,312,374,364
4,tile,0.9981277585029602,265,313,316,364
4,tile,0.9978524446487427,264,256,315,307
4,tile,0.9976851940155029,207,200,259,251
4,tile,0.9976465106010437,321,255,373,307
4,tile,0.997053861618042,263,199,315,251
4,tile,0.9967243075370789,379,255,430,307
4,tile,0.9964653253555298,321,198,372,250
4,tile,0.9960834980010986,207,256,259,309
4,tile,0.9956386685371399,377,197,429,250
4,tile,0.9955682158470154,205,143,257,195
1,board,0.995254635810852,200,137,436,369
4,tile,0.994749128818512,376,140,428,194
4,tile,0.9926987290382385,263,142,314,194
4,tile,0.9911895990371704,319,141,371,194
2,button,0.25370311737060547,378,96,433,116
3,score_box,0.2235143482685089,367,55,397,82
0,best_score_box,0.22020280361175537,400,55,434,81
0,best_score_box,0.2054600864648819,367,55,399,81
