class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9998345375061035,202,137,435,370
4,tile,0.9996209144592285,321,312,373,364
4,tile,0.999079704284668,205,143,256,195
4,tile,0.9987994432449341,263,200,314,251
4,tile,0.99831223487854,319,142,371,194
4,tile,0.9978358149528503,262,142,313,195
2,button,0.345490962266922,377,96,433,117
0,best_score_box,0.2040097415447235,400,55,433,82
3,score_box,0.19354604184627533,366,55,397,83
0,best_score_box,0.16700412333011627,366,55,399,82
4,tile,0.12318380177021027,377,97,435,117
