class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9986183643341064,207,200,259,251
4,tile,0.9985542893409729,322,312,373,364
4,tile,0.9984799027442932,208,313,260,365
4,tile,0.998090922832489,208,257,259,308
4,tile,0.9974229335784912,265,313,316,365
4,tile,0.9966170191764832,321,255,372,307
4,tile,0.9966059923171997,206,142,257,195
4,tile,0.9958873391151428,264,255,316,308
4,tile,0.9953514337539673,377,140,428,194
1,board,0.9952728152275085,200,137,436,370
4,tile,0.9945868253707886,263,199,315,251
4,tile,0.9940681457519531,263,142,315,194
4,tile,0.9934675097465515,378,254,430,307
4,tile,0.9933422207832336,320,198,372,251
4,tile,0.9925563931465149,377,197,429,250
4,tile,0.9925156235694885,380,313,430,363
4,tile,0.9912927746772766,320,141,372,194
3,score_box,0.21744799613952637,365,55,397,82
2,button,0.21163102984428406,378,96,433,116
0,best_score_box,0.20495326817035675,366,55,399,81
0,best_score_box,0.1962563693523407,400,54,434,81
