class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9990102052688599,265,312,316,364
4,tile,0.9987987279891968,208,314,260,365
4,tile,0.9984890222549438,206,199,259,251
4,tile,0.9983291029930115,264,256,316,307
4,tile,0.9981175661087036,208,256,259,308
1,board,0.9978471994400024,200,137,436,369
4,tile,0.9969162940979004,320,198,372,251
4,tile,0.9966949224472046,377,140,429,194
4,tile,0.9965720176696777,206,143,258,195
4,tile,0.9955090284347534,378,197,429,250
4,tile,0.9952884912490845,264,199,315,251
4,tile,0.9917320013046265,319,141,371,194
4,tile,0.9915144443511963,263,142,314,195
2,button,0.25860339403152466,378,96,433,116
0,best_score_box,0.22198018431663513,400,55,434,81
3,score_box,0.19380028545856476,365,55,397,82
0,best_score_box,0.19078649580478668,366,55,399,81
