class,class_name,confidence,x_min,y_min,x_max,y_max
1,board,0.9996141195297241,201,137,435,369
4,tile,0.9990743398666382,207,256,259,308
4,tile,0.9988394379615784,264,256,316,308
4,tile,0.998673677444458,264,199,315,251
4,tile,0.9981189370155334,207,200,258,252
4,tile,0.9980229139328003,377,141,428,194
4,tile,0.9970449805259705,205,143,257,195
4,tile,0.9948577880859375,319,141,371,194
4,tile,0.9935566782951355,263,142,314,195
2,button,0.28611743450164795,377,96,433,116
3,score_box,0.23282627761363983,366,55,397,82
0,best_score_box,0.22680416703224182,366,55,399,81
0,best_score_box,0.20275208353996277,400,55,434,82
