class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9988616704940796,206,199,259,251
4,tile,0.9986250400543213,322,312,373,364
4,tile,0.9985449314117432,379,311,431,364
4,tile,0.9974598288536072,320,198,372,251
1,board,0.9973081350326538,200,137,436,369
4,tile,0.9969502091407776,321,255,372,307
4,tile,0.9968512654304504,264,199,315,251
4,tile,0.9949658513069153,378,255,430,307
4,tile,0.9946919083595276,377,197,429,250
4,tile,0.9935378432273865,376,140,428,193
4,tile,0.9930981993675232,320,141,371,194
4,tile,0.9923902153968811,262,142,315,195
4,tile,0.8669250011444092,265,256,316,307
2,button,0.24564039707183838,378,95,433,116
3,score_box,0.2019118368625641,365,55,396,81
0,best_score_box,0.19002273678779602,400,55,434,81
0,best_score_box,0.162460058927536,366,55,398,81
