class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9995064735412598,265,312,316,365
4,tile,0.9993430972099304,379,311,431,364
4,tile,0.9986990690231323,206,143,257,195
1,board,0.9985895752906799,202,137,436,369
4,tile,0.997480571269989,264,199,315,251
4,tile,0.9960922598838806,262,142,314,195
4,tile,0.9960533380508423,377,140,428,194
4,tile,0.9959985017776489,378,255,430,307
4,tile,0.9956492781639099,319,198,372,251
4,tile,0.9943243265151978,320,141,372,194
4,tile,0.9922580122947693,377,197,429,250
0,best_score_box,0.21922701597213745,400,54,434,81
2,button,0.2155253291130066,377,96,433,116
3,score_box,0.20559285581111908,365,55,397,82
0,best_score_box,0.2018633633852005,366,55,399,81
