class,class_name,confidence,x_min,y_min,x_max,y_max
1,login_form,0.9914973378181458,250,50,484,336
0,login_button,0.9677591323852539,273,236,457,270
6,username_input,0.9645529389381409,271,141,459,175
3,success_alert,0.9546697735786438,272,279,457,312
4,title_text,0.9442571997642517,335,88,396,114
2,password_input,0.9251304268836975,271,197,459,231
