class,class_name,confidence,x_min,y_min,x_max,y_max
1,login_form,0.9912949800491333,248,66,483,321
6,username_input,0.9274365305900574,271,158,457,191
4,title_text,0.743897020816803,333,106,393,130
2,password_input,0.5830406546592712,270,214,456,246
0,login_button,0.5638394951820374,272,253,455,285
