class,class_name,confidence,x_min,y_min,x_max,y_max
1,login_form,0.9901707768440247,251,49,483,335
3,success_alert,0.9791746735572815,272,278,457,312
0,login_button,0.9079213738441467,272,237,457,270
2,password_input,0.3436706066131592,271,197,458,232
6,username_input,0.1576767861843109,271,141,458,175
4,title_text,0.11550885438919067,331,84,420,135
1,login_form,0.10325277596712112,4,28,254,337
